team,side,player_name,player_id,game_id,"last_name, first_name",year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba
Cleveland Guardians,home,Steven Kwan,680757,777960,"Kwan, Steven",2025.0,27.0,157.0,174.0,52.0,40.0,8.0,0.0,4.0,15.0,15.0,8.6,8.6,0.331,0.459,0.393,0.852,0.31,0.421,0.378,0.351
Cleveland Guardians,home,Daniel Schneemann,682177,777960,"Schneemann, Daniel",2025.0,28.0,77.0,88.0,21.0,11.0,5.0,0.0,5.0,24.0,10.0,27.3,11.4,0.273,0.532,0.356,0.888,0.258,0.57,0.386,0.387
Cleveland Guardians,home,José Ramírez,608070,777960,"Ramírez, José",2025.0,32.0,140.0,159.0,40.0,26.0,8.0,0.0,6.0,19.0,13.0,11.9,8.2,0.286,0.471,0.346,0.817,0.297,0.444,0.351,0.347
Cleveland Guardians,home,Carlos Santana,467793,777960,"Santana, Carlos",2025.0,39.0,137.0,160.0,31.0,24.0,3.0,0.0,4.0,29.0,17.0,18.1,10.6,0.226,0.336,0.319,0.655,0.22,0.356,0.295,0.299
Cleveland Guardians,home,Kyle Manzardo,700932,777960,"Manzardo, Kyle",2025.0,24.0,120.0,142.0,25.0,12.0,3.0,1.0,9.0,38.0,18.0,26.8,12.7,0.208,0.475,0.31,0.785,0.199,0.46,0.337,0.327
Cleveland Guardians,home,Bo Naylor,666310,777960,"Naylor, Bo",2025.0,25.0,92.0,106.0,18.0,10.0,3.0,0.0,5.0,24.0,12.0,22.6,11.3,0.196,0.391,0.286,0.677,0.205,0.43,0.3,0.313
Cleveland Guardians,home,Gabriel Arias,672356,777960,"Arias, Gabriel",2025.0,25.0,125.0,138.0,33.0,22.0,7.0,0.0,4.0,35.0,9.0,25.4,6.5,0.264,0.416,0.319,0.735,0.239,0.412,0.324,0.314
Cleveland Guardians,home,Nolan Jones,666134,777960,"Jones, Nolan",2025.0,27.0,90.0,106.0,14.0,6.0,6.0,0.0,2.0,33.0,15.0,31.1,14.2,0.156,0.289,0.276,0.565,0.218,0.457,0.259,0.339
Cleveland Guardians,home,Will Brennan,686823,777960,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milwaukee Brewers,away,Sal Frelick,686217,777960,"Frelick, Sal",2025.0,25.0,129.0,148.0,36.0,28.0,5.0,2.0,1.0,16.0,14.0,10.8,9.5,0.279,0.372,0.363,0.735,0.267,0.331,0.333,0.312
Milwaukee Brewers,away,Jackson Chourio,694192,777960,"Chourio, Jackson",2025.0,21.0,173.0,178.0,45.0,24.0,13.0,1.0,7.0,37.0,3.0,20.8,1.7,0.26,0.468,0.275,0.743,0.248,0.419,0.32,0.292
Milwaukee Brewers,away,Christian Yelich,592885,777960,"Yelich, Christian",2025.0,33.0,144.0,165.0,30.0,20.0,3.0,0.0,7.0,45.0,19.0,27.3,11.5,0.208,0.375,0.303,0.678,0.244,0.397,0.302,0.322
Milwaukee Brewers,away,William Contreras,661388,777960,"Contreras, William",2025.0,27.0,135.0,160.0,32.0,26.0,2.0,0.0,4.0,31.0,24.0,19.4,15.0,0.237,0.341,0.35,0.691,0.229,0.352,0.311,0.312
Milwaukee Brewers,away,Brice Turang,668930,777960,"Turang, Brice",2025.0,25.0,142.0,163.0,42.0,36.0,3.0,0.0,3.0,34.0,17.0,20.9,10.4,0.296,0.38,0.37,0.75,0.274,0.412,0.339,0.347
Milwaukee Brewers,away,Rhys Hoskins,656555,777960,"Hoskins, Rhys",2025.0,32.0,120.0,142.0,33.0,23.0,6.0,0.0,4.0,32.0,19.0,22.5,13.4,0.275,0.425,0.38,0.805,0.261,0.441,0.356,0.356
Milwaukee Brewers,away,Jake Bauers,641343,777960,"Bauers, Jake",2025.0,29.0,49.0,57.0,13.0,8.0,2.0,0.0,3.0,20.0,8.0,35.1,14.0,0.265,0.49,0.368,0.858,0.224,0.466,0.378,0.347
Milwaukee Brewers,away,Andruw Monasterio,655316,777960,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milwaukee Brewers,away,Caleb Durbin,702332,777960,"Durbin, Caleb",2025.0,25.0,69.0,80.0,14.0,10.0,3.0,0.0,1.0,4.0,4.0,5.0,5.0,0.203,0.29,0.291,0.581,0.223,0.3,0.269,0.278
Detroit Tigers,home,Kerry Carpenter,681481,777951,"Carpenter, Kerry",2025.0,27.0,134.0,141.0,38.0,23.0,5.0,1.0,9.0,25.0,3.0,17.7,2.1,0.284,0.537,0.307,0.844,0.27,0.565,0.363,0.366
Detroit Tigers,home,Gleyber Torres,650402,777951,"Torres, Gleyber",2025.0,28.0,109.0,124.0,31.0,22.0,5.0,0.0,4.0,11.0,11.0,8.9,8.9,0.284,0.44,0.355,0.795,0.3,0.549,0.351,0.392
