team,side,player_name_x,player_id,game_id,player_name_y,Pitcher Handedness,plate_appearances,at_bats,hits,singles,doubles,triples,home_runs,walks,strikeouts,batting_average,slugging_percentage
Boston Red Sox,home,Jarren Duran,680776,777130,"Duran, Jarren",L,143.0,133.0,29.0,19.0,5.0,4.0,1.0,5.0,41.0,0.2180451127819548,0.3383458646616541
Boston Red Sox,home,Jarren Duran,680776,777130,"Duran, Jarren",R,292.0,255.0,73.0,40.0,20.0,6.0,7.0,30.0,61.0,0.2862745098039215,0.4941176470588235
Boston Red Sox,home,Alex Bregman,608324,777130,"Bregman, Alex",L,58.0,46.0,17.0,13.0,3.0,0.0,1.0,12.0,10.0,0.3695652173913043,0.5
Boston Red Sox,home,Alex Bregman,608324,777130,"Bregman, Alex",R,171.0,154.0,43.0,18.0,15.0,0.0,10.0,15.0,33.0,0.2792207792207792,0.5714285714285714
Boston Red Sox,home,Roman Anthony,701350,777130,"Anthony, Roman",L,38.0,36.0,9.0,8.0,0.0,0.0,1.0,2.0,15.0,0.25,0.3333333333333333
Boston Red Sox,home,Roman Anthony,701350,777130,"Anthony, Roman",R,82.0,65.0,18.0,9.0,8.0,0.0,1.0,16.0,12.0,0.2769230769230769,0.4461538461538462
Boston Red Sox,home,Masataka Yoshida,807799,777130,"Yoshida, Masataka",L,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Red Sox,home,Masataka Yoshida,807799,777130,"Yoshida, Masataka",R,10.0,8.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.5,0.75
Boston Red Sox,home,Trevor Story,596115,777130,"Story, Trevor",L,97.0,90.0,25.0,17.0,4.0,0.0,4.0,4.0,27.0,0.2777777777777778,0.4555555555555555
Boston Red Sox,home,Trevor Story,596115,777130,"Story, Trevor",R,285.0,266.0,66.0,46.0,9.0,0.0,11.0,17.0,80.0,0.2481203007518796,0.4060150375939849
Boston Red Sox,home,Ceddanne Rafaela,678882,777130,"Rafaela, Ceddanne",L,101.0,92.0,23.0,11.0,5.0,1.0,6.0,7.0,20.0,0.25,0.5217391304347826
Boston Red Sox,home,Ceddanne Rafaela,678882,777130,"Rafaela, Ceddanne",R,239.0,219.0,62.0,38.0,16.0,1.0,7.0,13.0,45.0,0.2831050228310502,0.4611872146118721
Boston Red Sox,home,Marcelo Mayer,691785,777130,"Mayer, Marcelo",L,24.0,24.0,4.0,3.0,0.0,1.0,0.0,0.0,8.0,0.1666666666666666,0.25
Boston Red Sox,home,Marcelo Mayer,691785,777130,"Mayer, Marcelo",R,97.0,88.0,21.0,10.0,7.0,0.0,4.0,7.0,28.0,0.2386363636363636,0.4545454545454545
Boston Red Sox,home,Romy Gonzalez,663853,777130,"Gonzalez, Romy",L,76.0,66.0,28.0,15.0,7.0,2.0,4.0,7.0,17.0,0.4242424242424242,0.7727272727272727
Boston Red Sox,home,Romy Gonzalez,663853,777130,"Gonzalez, Romy",R,74.0,68.0,18.0,8.0,8.0,1.0,1.0,2.0,17.0,0.2647058823529412,0.4558823529411764
Boston Red Sox,home,Connor Wong,657136,777130,"Wong, Connor",L,17.0,14.0,3.0,3.0,0.0,0.0,0.0,3.0,5.0,0.2142857142857142,0.2142857142857142
Boston Red Sox,home,Connor Wong,657136,777130,"Wong, Connor",R,78.0,69.0,9.0,9.0,0.0,0.0,0.0,7.0,18.0,0.1304347826086956,0.1304347826086956
Tampa Bay Rays,away,Chandler Simpson,802415,777130,"Simpson, Chandler",L,48.0,44.0,14.0,14.0,0.0,0.0,0.0,2.0,4.0,0.3181818181818182,0.3181818181818182
Tampa Bay Rays,away,Chandler Simpson,802415,777130,"Simpson, Chandler",R,148.0,133.0,42.0,35.0,6.0,1.0,0.0,8.0,14.0,0.3157894736842105,0.3759398496240601
Tampa Bay Rays,away,Jonathan Aranda,666018,777130,"Aranda, Jonathan",L,80.0,68.0,22.0,19.0,3.0,0.0,0.0,10.0,21.0,0.3235294117647059,0.3676470588235294
