team,side,player_name_x,player_id,game_id,player_name_y,Pitcher Handedness,pa,ab,hit,single,double,triple,home_run,walk,strikeout,batting_avg,slg_percent,sprint_speed
New York Yankees,home,Trent Grisham,663757,777001,"Grisham, Trent",L,99,80,15,11,1,0,3,15,27,0.1875,0.3125,26.9
New York Yankees,home,Trent Grisham,663757,777001,"Grisham, Trent",R,238,200,58,35,8,1,14,30,45,0.29,0.55,26.9
New York Yankees,home,Paul Goldschmidt,502671,777001,"Goldschmidt, Paul",L,106,95,39,22,12,0,5,10,13,0.4105263157894737,0.6947368421052632,26.4
New York Yankees,home,Paul Goldschmidt,502671,777001,"Goldschmidt, Paul",R,274,253,63,48,11,1,3,16,53,0.2490118577075099,0.3359683794466403,26.4
New York Yankees,home,Cody Bellinger,641355,777001,"Bellinger, Cody",L,109,98,36,22,6,2,6,7,9,0.3673469387755102,0.6530612244897959,28.3
New York Yankees,home,Cody Bellinger,641355,777001,"Bellinger, Cody",R,292,264,68,40,14,1,13,22,46,0.2575757575757575,0.4659090909090909,28.3
New York Yankees,home,Giancarlo Stanton,519317,777001,"Stanton, Giancarlo",L,20,19,5,3,1,0,1,1,5,0.2631578947368421,0.4736842105263157,23.9
New York Yankees,home,Giancarlo Stanton,519317,777001,"Stanton, Giancarlo",R,80,69,19,12,2,0,5,10,25,0.2753623188405797,0.5217391304347826,23.9
New York Yankees,home,Jazz Chisholm Jr.,665862,777001,"Chisholm Jr., Jazz",L,84,70,16,13,2,0,1,10,23,0.2285714285714285,0.3,27.6
New York Yankees,home,Jazz Chisholm Jr.,665862,777001,"Chisholm Jr., Jazz",R,215,184,49,23,9,0,17,27,57,0.266304347826087,0.592391304347826,27.6
New York Yankees,home,Ben Rice,700250,777001,"Rice, Ben",L,72,65,13,4,5,0,4,4,18,0.2,0.4615384615384615,27.4
New York Yankees,home,Ben Rice,700250,777001,"Rice, Ben",R,250,215,53,28,12,2,11,34,48,0.2465116279069767,0.4744186046511628,27.4
New York Yankees,home,Anthony Volpe,683011,777001,"Volpe, Anthony",L,117,103,29,17,8,0,4,11,24,0.2815533980582524,0.4757281553398058,28.3
New York Yankees,home,Anthony Volpe,683011,777001,"Volpe, Anthony",R,294,256,49,22,14,3,10,28,71,0.19140625,0.38671875,28.3
New York Yankees,home,Ryan McMahon,641857,777001,"McMahon, Ryan",L,97,87,18,13,3,0,2,10,31,0.2068965517241379,0.3103448275862069,26.7
