"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","sprint_speed"
"Wilson, Weston",642215,2025,30,36,42,7,6,0,0,1,13,6,31,14.3,".194",".278",".310","0.588",".278",".423",".275",".357","27.4"
"Gasper, Mickey",681508,2025,29,34,39,6,5,1,0,0,9,4,23.1,10.3,".176",".206",".282","0.488",".149",".209",".236",".224","26.8"
"DeLuca, Jonny",676356,2025,26,23,25,10,9,0,1,0,4,2,16,8,".435",".522",".480","1.002",".296",".348",".439",".313","29.6"
"Marchán, Rafael",665561,2025,26,60,69,10,7,2,0,1,12,7,17.4,10.1,".167",".250",".265","0.515",".210",".287",".241",".271","26.5"
"Soderstrom, Tyler",691016,2025,23,330,374,84,55,13,1,15,87,37,23.3,9.9,".255",".436",".337","0.773",".263",".466",".339",".351","27.5"
"India, Jonathan",663697,2025,28,325,369,79,56,19,0,4,60,34,16.3,9.2,".243",".338",".326","0.664",".274",".417",".300",".340","28.2"
"Alvarez, Yordan",670541,2025,28,100,121,21,14,4,0,3,21,16,17.4,13.2,".210",".340",".306","0.646",".246",".495",".277",".363","26.0"
"Wagner, Will",695238,2025,26,77,89,15,11,4,0,0,19,11,21.3,12.4,".195",".247",".295","0.542",".236",".312",".255",".294","26.6"
"Elko, Tim",671284,2025,26,58,63,9,4,1,0,4,24,5,38.1,7.9,".155",".379",".222","0.601",".177",".378",".262",".269","27.8"
"Story, Trevor",596115,2025,32,345,365,87,61,11,0,15,103,16,28.2,4.4,".252",".414",".291","0.705",".251",".434",".308",".312","28.5"
"Carter, Evan",694497,2025,22,116,132,31,22,5,0,4,23,13,17.4,9.8,".267",".414",".356","0.770",".239",".380",".340",".314","28.8"
"Short, Zack",670097,2025,30,14,16,4,2,2,0,0,6,2,37.5,12.5,".286",".429",".375","0.804",".226",".296",".355",".281","26.4"
"Kepler, Max",596146,2025,32,264,302,56,32,14,0,10,63,34,20.9,11.3,".212",".379",".308","0.687",".234",".416",".305",".326","26.7"
"Reynolds, Bryan",668804,2025,30,340,375,77,49,16,2,10,99,30,26.4,8,".226",".374",".291","0.665",".276",".503",".291",".359","27.9"
"McLain, Matt",680574,2025,25,295,334,60,41,9,0,10,92,32,27.5,9.6,".203",".336",".291","0.627",".217",".367",".283",".299","29.2"
"Rogers, Jake",668670,2025,30,61,72,11,7,2,1,1,16,9,22.2,12.5,".180",".295",".282","0.577",".200",".325",".262",".286","26.8"
"Estrada, Thairo",642731,2025,29,116,125,33,24,7,0,2,16,4,12.8,3.2,".284",".397",".312","0.709",".243",".321",".308",".265","27.9"
"Simon, Ronny",682927,2025,25,47,56,11,9,2,0,0,7,7,12.5,12.5,".234",".277",".327","0.604",".277",".420",".279",".347","28.6"
"Keith, Colt",690993,2025,23,242,277,65,39,16,2,8,55,31,19.9,11.2,".269",".450",".350","0.800",".282",".497",".349",".375","28.0"
"Thomas, Colby",687515,2025,24,11,11,1,0,1,0,0,6,0,54.5,0,".091",".182",".091","0.273",".143",".182",".115",".141",
"Robles, Victor",645302,2025,28,44,46,12,9,3,0,0,7,0,15.2,0,".273",".341",".283","0.624",".204",".280",".272",".216","27.8"
"Chourio, Jackson",694192,2025,21,384,407,100,58,24,3,15,81,18,19.9,4.4,".260",".456",".295","0.751",".256",".414",".323",".305","29.3"
"Nido, Tomás",621512,2025,31,35,37,12,12,0,0,0,10,0,27,0,".343",".343",".361","0.704",".264",".331",".316",".270","25.1"
"Naylor, Bo",666310,2025,25,203,235,36,17,9,1,9,63,29,26.8,12.3,".177",".365",".278","0.643",".196",".376",".285",".295","27.2"
"Hernández, Teoscar",606192,2025,32,280,297,72,41,17,0,14,70,13,23.6,4.4,".257",".468",".291","0.759",".280",".490",".326",".347","28.1"
"Freeman, Freddie",518692,2025,35,300,337,91,57,23,1,10,75,31,22.3,9.2,".303",".487",".371","0.858",".288",".485",".367",".362","25.5"
"Bohm, Alec",664761,2025,28,340,368,95,73,12,2,8,61,21,16.6,5.7,".279",".397",".323","0.720",".275",".419",".316",".326","26.7"
"Kirk, Alejandro",672386,2025,26,277,306,84,68,9,0,7,30,25,9.8,8.2,".303",".412",".359","0.771",".307",".493",".338",".369","24.0"
"Schunk, Aaron",668845,2025,27,28,29,6,5,1,0,0,8,0,27.6,0,".214",".250",".214","0.464",".248",".332",".203",".250","27.2"
"Kiner-Falefa, Isiah",643396,2025,30,262,284,71,58,10,2,1,45,14,15.8,4.9,".271",".336",".317","0.653",".260",".319",".291",".282","27.3"
"Lee, Jung Hoo",808982,2025,26,333,370,82,51,18,7,6,41,29,11.1,7.8,".246",".396",".311","0.707",".274",".391",".309",".322","28.1"
"Montes, Coco",663796,2025,28,10,10,2,2,0,0,0,3,0,30,0,".200",".200",".200","0.400",".266",".309",".177",".251","25.6"
"Heineman, Tyler",623168,2025,34,77,88,26,19,5,0,2,17,5,19.3,5.7,".338",".481",".384","0.865",".233",".344",".374",".289","26.7"
"Winn, Masyn",691026,2025,23,304,336,77,54,16,0,7,60,26,17.9,7.7,".253",".375",".316","0.691",".254",".376",".307",".305","28.4"
"Raleigh, Cal",663728,2025,28,328,392,88,36,16,0,36,97,57,24.7,14.5,".268",".646",".383","1.029",".249",".578",".425",".392","26.0"
"Schwarber, Kyle",656941,2025,32,335,406,85,43,13,1,28,105,64,25.9,15.8,".254",".549",".384","0.933",".277",".607",".399",".423","26.0"
"Pederson, Joc",592626,2025,33,122,146,16,8,5,1,2,28,20,19.2,13.7,".131",".238",".269","0.507",".207",".354",".242",".312","25.2"
"Clement, Ernie",676391,2025,29,301,328,88,67,17,0,4,32,19,9.8,5.8,".292",".389",".333","0.722",".271",".360",".317",".298","28.7"
"Herrera, Jose",645444,2025,28,117,147,22,16,5,0,1,33,19,22.4,12.9,".188",".256",".304","0.560",".169",".225",".264",".251","24.6"
"Marte, Noelvi",682622,2025,23,80,88,21,13,4,1,3,14,7,15.9,8,".263",".450",".318","0.768",".238",".408",".332",".307","29.3"
"Farmer, Kyle",571657,2025,34,198,211,43,26,14,0,3,46,9,21.8,4.3,".217",".333",".261","0.594",".218",".330",".262",".266","26.2"
"Seager, Corey",608369,2025,31,223,262,57,35,9,0,13,52,34,19.8,13,".256",".471",".359","0.830",".308",".613",".357",".426","25.2"
"Fry, David",681807,2025,29,60,65,9,5,1,0,3,27,4,41.5,6.2,".150",".317",".215","0.532",".119",".212",".237",".183","26.1"
"Ramírez, José",608070,2025,32,328,368,98,64,17,1,16,41,32,11.1,8.7,".299",".503",".364","0.867",".294",".465",".365",".349","28.3"
"Sheets, Gavin",657757,2025,29,302,333,79,51,14,1,13,67,26,20.1,7.8,".262",".444",".321","0.765",".277",".478",".332",".352","27.0"
"Baddoo, Akil",668731,2025,26,17,18,2,1,1,0,0,5,1,27.8,5.6,".118",".176",".167","0.343",".255",".314",".158",".271",
"Smith, Josh",669701,2025,27,282,317,80,57,14,1,8,51,29,16.1,9.1,".284",".426",".358","0.784",".278",".422",".344",".338","27.4"
"Yelich, Christian",592885,2025,33,330,369,85,56,11,0,18,98,34,26.6,9.2,".258",".455",".333","0.788",".255",".446",".342",".335","28.0"
"Adams, Riley",656180,2025,29,92,96,13,7,3,0,3,42,3,43.8,3.1,".141",".272",".177","0.449",".182",".353",".198",".246","26.3"
