Game ID,Projected Winning Team,Projected Losing Team,Away Team,Home Team,Away Team Win Percentage,Home Team Win Percentage,Average Away Score,Average Home Score
777875,Seattle Mariners,San Diego Padres,Seattle Mariners,San Diego Padres,0.5227,0.4773,3.32,3.1422
777879,Athletics,San Francisco Giants,Athletics,San Francisco Giants,0.5205,0.4795,3.1578,2.9612
777881,Chicago Cubs,Chicago White Sox,Chicago White Sox,Chicago Cubs,0.4817,0.5183,3.0594,3.2322
777882,Texas Rangers,Houston Astros,Houston Astros,Texas Rangers,0.4495,0.5505,2.6568,3.1826
777883,Minnesota Twins,Milwaukee Brewers,Minnesota Twins,Milwaukee Brewers,0.5537,0.4463,3.3324,2.749
777884,Los Angeles Angels,Los Angeles Dodgers,Los Angeles Angels,Los Angeles Dodgers,0.5019,0.4981,3.0838,3.186
777885,St. Louis Cardinals,Kansas City Royals,St. Louis Cardinals,Kansas City Royals,0.6116,0.3884,3.695,2.3546
777886,Detroit Tigers,Toronto Blue Jays,Detroit Tigers,Toronto Blue Jays,0.5113,0.4887,3.5596,3.3656
777887,Arizona Diamondbacks,Colorado Rockies,Colorado Rockies,Arizona Diamondbacks,0.4243,0.5757,2.6944,3.697
777888,New York Yankees,New York Mets,New York Mets,New York Yankees,0.4099,0.5901,2.5648,3.7336
777889,Tampa Bay Rays,Miami Marlins,Tampa Bay Rays,Miami Marlins,0.5486,0.4514,3.5912,2.8666
777890,Baltimore Orioles,Washington Nationals,Washington Nationals,Baltimore Orioles,0.4976,0.5024,2.935,2.9914
777892,Cincinnati Reds,Cleveland Guardians,Cleveland Guardians,Cincinnati Reds,0.4323,0.5677,2.803,3.6562
777893,Atlanta Braves,Boston Red Sox,Atlanta Braves,Boston Red Sox,0.5277,0.4723,3.358,3.0012
777894,Pittsburgh Pirates,Philadelphia Phillies,Pittsburgh Pirates,Philadelphia Phillies,0.5732,0.4268,3.5054,2.6502
