Game ID,Projected Winning Team,Projected Losing Team,Away Team,Home Team,Away Team Win Percentage,Home Team Win Percentage,Average Away Score,Average Home Score,Average Total Innings
777819,San Francisco Giants,Kansas City Royals,Kansas City Royals,San Francisco Giants,0.4796,0.5204,5.885,6.2303,9.1178
777823,Philadelphia Phillies,Colorado Rockies,Philadelphia Phillies,Colorado Rockies,0.6317,0.3683,7.0784,5.3807,9.1222
777824,Los Angeles Dodgers,Arizona Diamondbacks,Arizona Diamondbacks,Los Angeles Dodgers,0.4228,0.5772,7.251,8.3424,9.0949
777826,Baltimore Orioles,Milwaukee Brewers,Baltimore Orioles,Milwaukee Brewers,0.5597,0.4403,6.1367,5.354,9.1342
777827,St. Louis Cardinals,Detroit Tigers,Detroit Tigers,St. Louis Cardinals,0.4786,0.5214,6.337,6.6707,9.1203
777829,Cleveland Guardians,Minnesota Twins,Cleveland Guardians,Minnesota Twins,0.5592,0.4408,6.0313,5.3318,9.1307
777830,Seattle Mariners,Chicago White Sox,Seattle Mariners,Chicago White Sox,0.5856,0.4144,6.09,5.0986,9.1313
777831,Boston Red Sox,New York Mets,New York Mets,Boston Red Sox,0.4448,0.5552,6.1795,6.8816,9.1114
777832,Tampa Bay Rays,Houston Astros,Houston Astros,Tampa Bay Rays,0.4371,0.5629,5.7893,6.6108,9.118
777833,Chicago Cubs,Miami Marlins,Chicago Cubs,Miami Marlins,0.6226,0.3774,7.2939,5.6709,9.1076
777834,Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,Pittsburgh Pirates,0.5833,0.4167,7.2911,6.1995,9.1096
777835,New York Yankees,Texas Rangers,Texas Rangers,New York Yankees,0.3757,0.6243,6.0034,7.7395,9.0989
777837,San Diego Padres,Toronto Blue Jays,San Diego Padres,Toronto Blue Jays,0.5589,0.4411,6.5262,5.8056,9.1214
777861,Cleveland Guardians,Minnesota Twins,Cleveland Guardians,Minnesota Twins,0.5053,0.4947,6.0431,5.945,9.1224
