Game ID,Projected Winning Team,Projected Losing Team,Away Team,Home Team,Away Team Win Percentage,Home Team Win Percentage,Average Away Score,Average Home Score,Average Total Innings,Confidence Level
776820,San Diego Padres,Boston Red Sox,Boston Red Sox,San Diego Padres,0.0,1.0,4.0,11.0,9.0,1.0
776821,Texas Rangers,Philadelphia Phillies,Philadelphia Phillies,Texas Rangers,0.0,1.0,7.0,12.0,9.0,1.0
776825,Arizona Diamondbacks,Colorado Rockies,Colorado Rockies,Arizona Diamondbacks,0.0,1.0,3.0,4.0,9.0,1.0
776826,St. Louis Cardinals,Chicago Cubs,Chicago Cubs,St. Louis Cardinals,0.0,1.0,2.0,11.0,9.0,1.0
776827,Kansas City Royals,Minnesota Twins,Kansas City Royals,Minnesota Twins,1.0,0.0,1.0,0.0,9.0,1.0
776828,New York Mets,Milwaukee Brewers,New York Mets,Milwaukee Brewers,1.0,0.0,11.0,7.0,10.0,1.0
776829,Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,Pittsburgh Pirates,1.0,0.0,11.0,10.0,12.0,1.0
776831,Athletics,Baltimore Orioles,Athletics,Baltimore Orioles,1.0,0.0,12.0,9.0,9.0,1.0
776832,Los Angeles Angels,Detroit Tigers,Los Angeles Angels,Detroit Tigers,1.0,0.0,10.0,8.0,9.0,1.0
776833,Chicago White Sox,Cleveland Guardians,Cleveland Guardians,Chicago White Sox,0.0,1.0,9.0,10.0,9.0,1.0
776834,Atlanta Braves,Miami Marlins,Miami Marlins,Atlanta Braves,0.0,1.0,6.0,7.0,9.0,1.0
776835,Houston Astros,New York Yankees,Houston Astros,New York Yankees,1.0,0.0,10.0,1.0,9.0,1.0
